Chapter,Video Name,Loom link
AI for eCommerce,Start Here,https://www.loom.com/share/146dfda8816d4335b497a6cf207c6808
AI for eCommerce,"LLM Foundations (ChatGPT, Claude, Gemini, etc...)",https://www.loom.com/share/b7f10513747e4694a0f734ad77b1e8aa
AI for eCommerce,Prompting Foundations,https://www.loom.com/share/91389682f7e24f03adc3d1b04f8f0ddf
AI for eCommerce,Context Brain Foundations (Copy/Paste this),https://www.loom.com/share/58fdec45ad2e4d9da4b1916a57e8c7c7
AI for eCommerce,Image/Video Gen Foundations,https://www.loom.com/share/3d8dd59306b745f19de273dec037e432
AI for eCommerce,Automation Foundations,https://www.loom.com/share/b411440b35394e699345975bf9b9fb97
Advertising Creative,The Creative Shortcut :rocket: Scale Winning Ads Faster,https://www.loom.com/share/8ded4097dca548e99fbd275ed3cd42a5
Advertising Creative,How to Create Hooks that Scale: The 'Barb' System,https://www.loom.com/share/834f8692369f4e0c8c42d7bf58b13ff2
Advertising Creative,12 Ad Creative Formats You Need to Be Testing :point_down:,https://www.loom.com/share/b5aac6b0594f45a49721d22cd6afad80
Advertising Creative,The Creative Strategy That Wins Over Trends :chart_with_upwards_trend:,https://www.loom.com/share/4780c5f525c740d7a3cb6319463d5e4c
Advertising Creative,The Secret Ad Format You Need to Try :zap:️,https://www.loom.com/share/cc4398f97e7b4e3684660e0e047ac983
Advertising Creative,How The Oodie Test & Scale Winning Creatives :eyes:,https://www.loom.com/share/071eb512ce1746f7827885545e89d7b4
Advertising Creative,What if I don't have ad creative assets?,https://www.loom.com/share/7cf790370ddb48daa990a40aae7977ca
Advertising Creative,How to Script a Video Ad,https://www.loom.com/share/6dad674626cd4c35834bd28af2b1c261
Advertising Creative,How to Hire a Creative Strategist,https://www.loom.com/share/9319f1eb815c41ef93e81304cc7c0300
Advertising Creative,How to brief creators & manage assets (Live Call),https://www.loom.com/share/491df77bebf0408db93df09a4a3c51d8
Advertising Creative,Video #5,https://loom.com/share/562c768848e746dc8d5990e481e8552d
Advertising Creative,Video #6,https://www.loom.com/share/817267cac45a4af6877200d6048e5c39
Advertising Creative,Video #7,https://www.loom.com/share/78863de4c3d04b92a793fc0c110294ec
Advertising Creative,How To Create Advertorials,https://www.loom.com/share/90d9f4286bd946b5a8f7a8e285eeb975
Advertising Creative,How To Find Advertorial Examples,https://www.loom.com/share/3bbf8e03e2e84ae4b2a62843b6bad4cd
Advertising Creative,Ad Creative Jam #1,https://www.loom.com/share/a16674fa0cd84937894fd7233693fff3
Advertising Creative,UGC & Influencer Interview w/ For You Advertising,https://www.loom.com/share/cd31d4f3f3784cf79c0ce3bb756572e1
Advertising Creative,Influencer Marketing Q&A w/ Cody (#2),https://www.loom.com/share/9ea324c16d934008ab3ef4e416456aa3
Advertising Creative,Influencer Marketing Q&A w/ Cody (#1),https://www.loom.com/share/977e51e9770c4a1990a7eaeac0d41afd
Advertising Creative,Influencer Marketing w/ Jordan,https://www.loom.com/share/be88bc58c72841c7b158a59f21864b6f
Advertising Creative,Alex Live Call July 2025,https://www.loom.com/share/7fb591189f2b4b95a65a91d95b539f58
Facebook Ads,Updates to Facebook Restrictions in 2025,https://www.loom.com/share/3d2e986c59344a4c9291af126a6e80dc
Facebook Ads,2025 Ad Account Structure,https://www.loom.com/share/4ad6bd779c004544a416262ca7321a58
Facebook Ads,Creative Optimization in Facebook,https://www.loom.com/share/5078003b07ae43acbf4db96380ca6a93
Facebook Ads,Creating a Campaign A to Z,https://www.loom.com/share/a24074e183864b0b95419cd071caca76
Facebook Ads,Setting Up Custom Columns,https://www.loom.com/share/dd5088eafed74e86be3b4e27e2cc0493
Facebook Ads,Setting Up Audience Segments,https://www.loom.com/share/1d2263b4ae154f3facd93334043dd77d
Facebook Ads,Spend Minimums and Maximums,https://www.loom.com/share/2934a075498c4d8b9bee9f7361f900d0
Facebook Ads,Creative Testing,https://www.loom.com/share/0bc5a33cc9d44a508c4fc5eb3766e9e8
Facebook Ads,Mistakes & Foundational Principles,https://www.loom.com/share/91dde008338d4676afb17928e4a34bb9
Facebook Ads,Auto Bid - Managing the Ad Account,https://www.loom.com/share/25a7c78aef66428cb48b084789840a70
Facebook Ads,How Paid Media Attribution Works,https://www.loom.com/share/ecd4b84a7d904066a6dbc194941a39b7
Facebook Ads,Cost Controls,https://www.loom.com/share/62f6de29c3984c2da46c2daaaa38f031
Facebook Ads,When Ads Stop Working (Live Session),https://www.loom.com/share/8258cf69cdf1423bafd0e3d2a1bee770
Brand & Organic Strategy,4 Pillar Approach to Marketing from QALO,https://www.loom.com/share/3d39abc89d4f4c2094057adc846638c2
Brand & Organic Strategy,Positioning Examples for Brands,https://www.loom.com/share/038716c9d76d43ddbf5275c49e07a29a
Brand & Organic Strategy,How To Use Trial Reels :selfie::skin-tone-4:,https://www.loom.com/share/dc3f1d254c6e44a79f25fef598f36099
